EFM	w_{wt}	w_{ad}	$\log_{2}$(FC)	$\|$w_{wt} - w_{ad}$\|$	\# compartments	EFM length
1	1.456E-8	2.179E-9	-2.740E0	-1.238E-8	6	14
2	2.567E-2	5.285E-2	1.042E0	2.718E-2	1	3
3	9.925E-8	7.791E-8	-3.492E-1	-2.134E-8	6	15
4	7.780E-2	6.127E-2	-3.446E-1	-1.653E-2	1	3
5	4.097E-4	2.212E-4	-8.895E-1	-1.886E-4	3	8
6	5.410E-2	2.874E-2	-9.126E-1	-2.536E-2	1	3
7	3.626E-2	1.206E-2	-1.589E0	-2.420E-2	1	3
8	2.303E-5	1.537E-6	-3.905E0	-2.149E-5	2	5
9	1.863E-4	2.197E-3	3.560E0	2.011E-3	5	11
10	9.853E-5	2.494E-2	7.984E0	2.485E-2	1	3
11	1.443E-3	1.001E-2	2.794E0	8.564E-3	3	6
12	5.948E-2	9.055E-2	6.063E-1	3.107E-2	1	3
13	1.190E-5	2.859E-6	-2.058E0	-9.046E-6	6	15
14	3.541E-4	3.175E-4	-1.575E-1	-3.663E-5	6	13
15	8.889E-4	1.404E-3	6.600E-1	5.156E-4	4	10
16	6.224E-4	4.392E-4	-5.031E-1	-1.833E-4	2	5
17	6.980E-3	5.496E-3	-3.449E-1	-1.484E-3	1	3
18	2.988E-5	1.265E-5	-1.240E0	-1.723E-5	4	12
19	1.679E-2	7.722E-3	-1.120E0	-9.064E-3	3	6
20	6.755E-7	1.047E-7	-2.690E0	-5.708E-7	5	14
21	5.997E-7	4.269E-7	-4.903E-1	-1.728E-7	5	12
22	5.721E-5	1.790E-5	-1.676E0	-3.931E-5	3	8
23	2.783E-5	2.051E-5	-4.405E-1	-7.322E-6	4	12
24	1.035E-3	1.221E-3	2.394E-1	1.868E-4	5	10
25	6.261E-6	1.978E-5	1.660E0	1.352E-5	5	13
26	4.851E-5	9.011E-5	8.935E-1	4.160E-5	3	8
27	2.271E-5	8.485E-6	-1.421E0	-1.423E-5	5	12
28	1.080E-7	7.680E-7	2.831E0	6.600E-7	5	13
29	9.400E-2	5.713E-1	2.604E0	4.773E-1	1	3
30	4.089E-6	1.526E-5	1.900E0	1.117E-5	5	13
31	7.255E-4	5.812E-4	-3.200E-1	-1.443E-4	5	10
32	4.391E-6	9.414E-6	1.100E0	5.023E-6	5	13
33	9.945E-6	1.129E-6	-3.139E0	-8.816E-6	4	10
34	1.702E-3	1.988E-3	2.240E-1	2.858E-4	3	6
35	2.973E-6	2.684E-6	-1.476E-1	-2.891E-7	5	12
36	1.126E-4	5.335E-5	-1.078E0	-5.926E-5	5	12
37	2.054E-2	1.365E-2	-5.892E-1	-6.887E-3	1	3
38	1.306E-4	1.045E-3	3.001E0	9.148E-4	5	11
39	4.479E-2	2.833E-2	-6.606E-1	-1.645E-2	1	3
40	3.478E-5	1.100E-5	-1.661E0	-2.378E-5	5	12
41	5.643E-4	6.953E-5	-3.021E0	-4.947E-4	3	8
42	5.513E-7	4.331E-8	-3.670E0	-5.080E-7	6	14
43	6.440E-7	2.633E-7	-1.290E0	-3.807E-7	5	12
44	8.845E-5	2.981E-4	1.753E0	2.096E-4	5	10
45	3.449E-6	5.260E-5	3.931E0	4.916E-5	5	11
46	3.350E-3	5.924E-3	8.226E-1	2.574E-3	5	10
47	2.621E-9	3.920E-9	5.810E-1	1.300E-9	6	15
48	1.159E-7	4.737E-7	2.031E0	3.577E-7	5	13
49	2.439E-5	5.233E-6	-2.220E0	-1.916E-5	5	12
50	2.769E-6	4.352E-6	6.523E-1	1.583E-6	5	12
51	1.049E-4	8.649E-5	-2.780E-1	-1.838E-5	5	12
52	6.721E-8	2.222E-8	-1.597E0	-4.500E-8	6	14
53	1.916E-5	2.924E-5	6.102E-1	1.009E-5	5	10
54	2.546E-6	4.415E-7	-2.527E0	-2.104E-6	6	14
55	2.934E-2	4.958E-2	7.566E-1	2.023E-2	1	3
